battle_time,map,game_mode,environment,mode,team_a_win,team_a_brawler1,team_a_brawler2,team_a_brawler3,team_b_brawler1,team_b_brawler2,team_b_brawler3,team_a_brawler1_class,team_a_brawler2_class,team_a_brawler3_class,team_b_brawler1_class,team_b_brawler2_class,team_b_brawler3_class,team_a_brawler1_rarity,team_a_brawler2_rarity,team_a_brawler3_rarity,team_b_brawler1_rarity,team_b_brawler2_rarity,team_b_brawler3_rarity
20260313T233912.000Z,Opening Move,Knockout,Retropolis,knockout,False,EDGAR,STU,TICK,MORTIS,GRAY,ZIGGY,Assassin,Assassin,Artillery,Assassin,Support,Unknown,Epic,Epic,Super Rare,Mythic,Mythic,Mythic
20260313T233507.000Z,Opening Move,Knockout,Retropolis,knockout,True,MORTIS,GRAY,ZIGGY,RICO,LEON,CROW,Assassin,Support,Unknown,Damage Dealer,Assassin,Assassin,Mythic,Mythic,Mythic,Super Rare,Legendary,Legendary
20260313T233232.000Z,Opening Move,Knockout,Retropolis,knockout,True,MORTIS,GRAY,ZIGGY,ZIGGY,COLT,PIPER,Assassin,Support,Unknown,Unknown,Damage Dealer,Marksman,Mythic,Mythic,Mythic,Mythic,Rare,Epic
20260313T233031.000Z,Opening Move,Knockout,Retropolis,knockout,False,SQUEAK,BUSTER,MANDY,MORTIS,GRAY,ZIGGY,Controller,Tank,Marksman,Assassin,Support,Unknown,Mythic,Mythic,Epic,Mythic,Mythic,Mythic
20260313T232744.000Z,Opening Move,Knockout,Retropolis,knockout,True,MORTIS,GRAY,ZIGGY,MANDY,BIBI,MINA,Assassin,Support,Unknown,Marksman,Tank,Unknown,Mythic,Mythic,Mythic,Epic,Epic,Mythic
20260313T232452.000Z,Opening Move,Knockout,Retropolis,knockout,True,MORTIS,GRAY,ZIGGY,GENE,GROM,LEON,Assassin,Support,Unknown,Controller,Artillery,Assassin,Mythic,Mythic,Mythic,Mythic,Epic,Legendary
20260313T232319.000Z,Opening Move,Knockout,Retropolis,knockout,True,KENJI,BEA,COLT,ZIGGY,GRAY,MORTIS,Assassin,Marksman,Damage Dealer,Unknown,Support,Assassin,Legendary,Epic,Rare,Mythic,Mythic,Mythic
20260313T232045.000Z,Opening Move,Knockout,Retropolis,knockout,False,PIERCE,PENNY,GROM,COLT,ANGELO,ZIGGY,Unknown,Artillery,Artillery,Damage Dealer,Marksman,Unknown,Legendary,Super Rare,Epic,Rare,Epic,Mythic
20260313T231753.000Z,Opening Move,Knockout,Retropolis,knockout,False,MORTIS,GLOWBERT,BULL,COLT,ZIGGY,ANGELO,Assassin,Unknown,Tank,Damage Dealer,Unknown,Marksman,Mythic,Mythic,Rare,Rare,Mythic,Epic
20260313T231431.000Z,Opening Move,Knockout,Retropolis,knockout,True,COLT,ANGELO,ZIGGY,SIRIUS,BULL,DYNAMIKE,Damage Dealer,Marksman,Unknown,Unknown,Tank,Artillery,Rare,Epic,Mythic,Ultra Legendary,Rare,Super Rare
20260313T231059.000Z,Opening Move,Knockout,Retropolis,knockout,True,COLT,ANGELO,ZIGGY,CROW,SIRIUS,MORTIS,Damage Dealer,Marksman,Unknown,Assassin,Unknown,Assassin,Rare,Epic,Mythic,Legendary,Ultra Legendary,Mythic
20260313T230659.000Z,Opening Move,Knockout,Retropolis,knockout,False,LILY,MORTIS,BIBI,ANGELO,ZIGGY,COLT,Assassin,Assassin,Tank,Marksman,Unknown,Damage Dealer,Mythic,Mythic,Epic,Epic,Mythic,Rare
20260313T230305.000Z,Opening Move,Knockout,Retropolis,knockout,True,COLT,ANGELO,ZIGGY,BIBI,DYNAMIKE,COLT,Damage Dealer,Marksman,Unknown,Tank,Artillery,Damage Dealer,Rare,Epic,Mythic,Epic,Super Rare,Rare
20260313T225921.000Z,Opening Move,Knockout,Retropolis,knockout,True,COLT,ANGELO,ZIGGY,DARRYL,BO,KIT,Damage Dealer,Marksman,Unknown,Tank,Controller,Support,Rare,Epic,Mythic,Super Rare,Epic,Legendary
20260313T225145.000Z,Opening Move,Knockout,Retropolis,knockout,False,LEON,DARRYL,BO,COLT,ANGELO,LILY,Assassin,Tank,Controller,Damage Dealer,Marksman,Assassin,Legendary,Super Rare,Epic,Rare,Epic,Mythic
20260313T224740.000Z,Opening Move,Knockout,Retropolis,knockout,True,KAZE,LEON,SIRIUS,COLT,ANGELO,LILY,Unknown,Assassin,Unknown,Damage Dealer,Marksman,Assassin,Ultra Legendary,Legendary,Ultra Legendary,Rare,Epic,Mythic
20260313T224412.000Z,Opening Move,Knockout,Retropolis,knockout,False,SIRIUS,LEON,BYRON,COLT,ANGELO,LILY,Unknown,Assassin,Support,Damage Dealer,Marksman,Assassin,Ultra Legendary,Legendary,Mythic,Rare,Epic,Mythic
20260313T223848.000Z,Opening Move,Knockout,Retropolis,knockout,False,GRAY,SIRIUS,LILY,COLT,LILY,ANGELO,Support,Unknown,Assassin,Damage Dealer,Assassin,Marksman,Mythic,Ultra Legendary,Mythic,Rare,Mythic,Epic
20260313T223630.000Z,Opening Move,Knockout,Retropolis,knockout,False,DYNAMIKE,CROW,DOUG,COLT,ANGELO,LILY,Artillery,Assassin,Support,Damage Dealer,Marksman,Assassin,Super Rare,Legendary,Mythic,Rare,Epic,Mythic
20260313T223357.000Z,Opening Move,Knockout,Retropolis,knockout,True,COLT,ANGELO,LILY,BEA,SAM,BYRON,Damage Dealer,Marksman,Assassin,Marksman,Assassin,Support,Rare,Epic,Mythic,Epic,Epic,Mythic
20260314T015620.000Z,Singed Earth,Brawl Ball,Bbarena,brawlBall,False,SIRIUS,NITA,RUFFS,SPIKE,CHARLIE,MOE,Unknown,Damage Dealer,Support,Damage Dealer,Controller,Damage Dealer,Ultra Legendary,Rare,Mythic,Legendary,Mythic,Mythic
20260314T015443.000Z,Singed Earth,Brawl Ball,Bbarena,brawlBall,False,CROW,CHESTER,TARA,SPIKE,CHARLIE,MOE,Assassin,Damage Dealer,Damage Dealer,Damage Dealer,Controller,Damage Dealer,Legendary,Legendary,Mythic,Legendary,Mythic,Mythic
20260314T015215.000Z,Singed Earth,Brawl Ball,Bbarena,brawlBall,True,RUFFS,SPIKE,CHARLIE,CROW,KIT,BIBI,Support,Damage Dealer,Controller,Assassin,Support,Tank,Mythic,Legendary,Mythic,Legendary,Legendary,Epic
20260314T014925.000Z,Singed Earth,Brawl Ball,Bbarena,brawlBall,False,RICO,BELLE,LEON,RUFFS,SPIKE,CHARLIE,Damage Dealer,Marksman,Assassin,Support,Damage Dealer,Controller,Super Rare,Epic,Legendary,Mythic,Legendary,Mythic
20260314T014730.000Z,Singed Earth,Brawl Ball,Bbarena,brawlBall,True,RUFFS,SPIKE,CHARLIE,SIRIUS,CROW,BIBI,Support,Damage Dealer,Controller,Unknown,Assassin,Tank,Mythic,Legendary,Mythic,Ultra Legendary,Legendary,Epic
20260314T014559.000Z,Singed Earth,Brawl Ball,Bbarena,brawlBall,False,DARRYL,SPIKE,BIBI,RUFFS,SPIKE,CHARLIE,Tank,Damage Dealer,Tank,Support,Damage Dealer,Controller,Super Rare,Legendary,Epic,Mythic,Legendary,Mythic
20260314T014107.000Z,Singed Earth,Brawl Ball,Bbarena,brawlBall,False,RUFFS,SPIKE,CHARLIE,BIBI,RICO,SIRIUS,Support,Damage Dealer,Controller,Tank,Damage Dealer,Unknown,Mythic,Legendary,Mythic,Epic,Super Rare,Ultra Legendary
20260314T013736.000Z,Singed Earth,Brawl Ball,Bbarena,brawlBall,False,SPIKE,SIRIUS,BIBI,RUFFS,SPIKE,CHARLIE,Damage Dealer,Unknown,Tank,Support,Damage Dealer,Controller,Legendary,Ultra Legendary,Epic,Mythic,Legendary,Mythic
20260314T013319.000Z,Singed Earth,Brawl Ball,Bbarena,brawlBall,True,RUFFS,SPIKE,CHARLIE,RICO,FANG,MORTIS,Support,Damage Dealer,Controller,Damage Dealer,Assassin,Assassin,Mythic,Legendary,Mythic,Super Rare,Mythic,Mythic
20260314T013019.000Z,Singed Earth,Brawl Ball,Bbarena,brawlBall,True,SPIKE,CHARLIE,RUFFS,MORTIS,EL PRIMO,BIBI,Damage Dealer,Controller,Support,Assassin,Tank,Tank,Legendary,Mythic,Mythic,Mythic,Rare,Epic
20260314T012913.000Z,Singed Earth,Brawl Ball,Bbarena,brawlBall,True,RUFFS,SPIKE,CHARLIE,CROW,COLT,MAISIE,Support,Damage Dealer,Controller,Assassin,Damage Dealer,Marksman,Mythic,Legendary,Mythic,Legendary,Rare,Epic
20260314T012733.000Z,Singed Earth,Brawl Ball,Bbarena,brawlBall,False,BIBI,RICO,FRANK,RUFFS,SPIKE,CHARLIE,Tank,Damage Dealer,Tank,Support,Damage Dealer,Controller,Epic,Super Rare,Epic,Mythic,Legendary,Mythic
20260314T012411.000Z,Singed Earth,Brawl Ball,Bbarena,brawlBall,True,RUFFS,SPIKE,CHARLIE,CROW,CHESTER,BIBI,Support,Damage Dealer,Controller,Assassin,Damage Dealer,Tank,Mythic,Legendary,Mythic,Legendary,Legendary,Epic
20260314T012147.000Z,Singed Earth,Brawl Ball,Bbarena,brawlBall,True,RUFFS,SPIKE,CHARLIE,SPIKE,SIRIUS,ASH,Support,Damage Dealer,Controller,Damage Dealer,Unknown,Tank,Mythic,Legendary,Mythic,Legendary,Ultra Legendary,Epic
20260314T011936.000Z,Singed Earth,Brawl Ball,Bbarena,brawlBall,True,RUFFS,SPIKE,CHARLIE,BIBI,MORTIS,BULL,Support,Damage Dealer,Controller,Tank,Assassin,Tank,Mythic,Legendary,Mythic,Epic,Mythic,Rare
20260314T011658.000Z,Singed Earth,Brawl Ball,Bbarena,brawlBall,False,BULL,SIRIUS,BIBI,RUFFS,SPIKE,CHARLIE,Tank,Unknown,Tank,Support,Damage Dealer,Controller,Rare,Ultra Legendary,Epic,Mythic,Legendary,Mythic
20260314T011320.000Z,Singed Earth,Brawl Ball,Bbarena,brawlBall,True,SPIKE,CHARLIE,RUFFS,COLT,BEA,CHESTER,Damage Dealer,Controller,Support,Damage Dealer,Marksman,Damage Dealer,Legendary,Mythic,Mythic,Rare,Epic,Legendary
20260314T010905.000Z,Singed Earth,Brawl Ball,Bbarena,brawlBall,True,SPIKE,CHARLIE,RUFFS,BIBI,FRANK,COLT,Damage Dealer,Controller,Support,Tank,Tank,Damage Dealer,Legendary,Mythic,Mythic,Epic,Epic,Rare
20260314T010531.000Z,Singed Earth,Brawl Ball,Bbarena,brawlBall,False,MORTIS,COLT,CROW,RUFFS,SPIKE,CHARLIE,Assassin,Damage Dealer,Assassin,Support,Damage Dealer,Controller,Mythic,Rare,Legendary,Mythic,Legendary,Mythic
20260314T010237.000Z,Singed Earth,Brawl Ball,Bbarena,brawlBall,True,RUFFS,SPIKE,CHARLIE,FRANK,MORTIS,RICO,Support,Damage Dealer,Controller,Tank,Assassin,Damage Dealer,Mythic,Legendary,Mythic,Epic,Mythic,Super Rare
20260314T005946.000Z,Singed Earth,Brawl Ball,Bbarena,brawlBall,False,BEA,STU,RICO,SPIKE,CHARLIE,RUFFS,Marksman,Assassin,Damage Dealer,Damage Dealer,Controller,Support,Epic,Epic,Super Rare,Legendary,Mythic,Mythic
20260314T005651.000Z,Singed Earth,Brawl Ball,Bbarena,brawlBall,True,RUFFS,SPIKE,CHARLIE,SHELLY,POCO,BULL,Support,Damage Dealer,Controller,Damage Dealer,Support,Tank,Mythic,Legendary,Mythic,Common,Rare,Rare
20260314T005345.000Z,Singed Earth,Brawl Ball,Bbarena,brawlBall,True,SPIKE,RUFFS,CHARLIE,MORTIS,SPIKE,TARA,Damage Dealer,Support,Controller,Assassin,Damage Dealer,Damage Dealer,Legendary,Mythic,Mythic,Mythic,Legendary,Mythic
20260314T005229.000Z,Singed Earth,Brawl Ball,Bbarena,brawlBall,False,SIRIUS,BIBI,SANDY,RUFFS,SPIKE,CHARLIE,Unknown,Tank,Controller,Support,Damage Dealer,Controller,Ultra Legendary,Epic,Legendary,Mythic,Legendary,Mythic
20260314T005015.000Z,Singed Earth,Brawl Ball,Bbarena,brawlBall,True,RUFFS,CHARLIE,SPIKE,BEA,RICO,BIBI,Support,Controller,Damage Dealer,Marksman,Damage Dealer,Tank,Mythic,Mythic,Legendary,Epic,Super Rare,Epic
20260313T121215.000Z,Singed Earth,Brawl Ball,Bbarena,brawlBall,False,GRIFF,MANDY,COLETTE,SIRIUS,BIBI,CROW,Controller,Marksman,Damage Dealer,Unknown,Tank,Assassin,Epic,Epic,Epic,Ultra Legendary,Epic,Legendary
20260313T120916.000Z,Singed Earth,Brawl Ball,Bbarena,brawlBall,False,JACKY,CROW,BIBI,GRIFF,MANDY,COLETTE,Tank,Assassin,Tank,Controller,Marksman,Damage Dealer,Super Rare,Legendary,Epic,Epic,Epic,Epic
20260313T120720.000Z,Singed Earth,Brawl Ball,Bbarena,brawlBall,False,SIRIUS,BIBI,SURGE,GRIFF,MANDY,COLETTE,Unknown,Tank,Damage Dealer,Controller,Marksman,Damage Dealer,Ultra Legendary,Epic,Legendary,Epic,Epic,Epic
20260313T120552.000Z,Singed Earth,Brawl Ball,Bbarena,brawlBall,True,GRIFF,MANDY,COLETTE,MORTIS,EMZ,LEON,Controller,Marksman,Damage Dealer,Assassin,Controller,Assassin,Epic,Epic,Epic,Mythic,Epic,Legendary
20260313T120243.000Z,Singed Earth,Brawl Ball,Bbarena,brawlBall,True,GRIFF,COLETTE,MANDY,BULL,SANDY,SIRIUS,Controller,Damage Dealer,Marksman,Tank,Controller,Unknown,Epic,Epic,Epic,Rare,Legendary,Ultra Legendary
20260313T120013.000Z,Singed Earth,Brawl Ball,Bbarena,brawlBall,False,BIBI,SIRIUS,EMZ,COLETTE,MANDY,GRIFF,Tank,Unknown,Controller,Damage Dealer,Marksman,Controller,Epic,Ultra Legendary,Epic,Epic,Epic,Epic
20260313T115901.000Z,Singed Earth,Brawl Ball,Bbarena,brawlBall,False,LEON,BULL,FRANK,GRIFF,COLETTE,MANDY,Assassin,Tank,Tank,Controller,Damage Dealer,Marksman,Legendary,Rare,Epic,Epic,Epic,Epic
20260313T115605.000Z,Singed Earth,Brawl Ball,Bbarena,brawlBall,True,GRIFF,MANDY,COLETTE,DARRYL,RICO,CHESTER,Controller,Marksman,Damage Dealer,Tank,Damage Dealer,Damage Dealer,Epic,Epic,Epic,Super Rare,Super Rare,Legendary
20260313T115357.000Z,Singed Earth,Brawl Ball,Bbarena,brawlBall,True,COLETTE,MANDY,GRIFF,MORTIS,RICO,COLT,Damage Dealer,Marksman,Controller,Assassin,Damage Dealer,Damage Dealer,Epic,Epic,Epic,Mythic,Super Rare,Rare
20260313T115147.000Z,Singed Earth,Brawl Ball,Bbarena,brawlBall,False,GRIFF,COLETTE,BUSTER,BIBI,MORTIS,SIRIUS,Controller,Damage Dealer,Tank,Tank,Assassin,Unknown,Epic,Epic,Mythic,Epic,Mythic,Ultra Legendary
20260313T114921.000Z,Singed Earth,Brawl Ball,Bbarena,brawlBall,True,GRIFF,COLETTE,BUSTER,BIBI,SIRIUS,RICO,Controller,Damage Dealer,Tank,Tank,Unknown,Damage Dealer,Epic,Epic,Mythic,Epic,Ultra Legendary,Super Rare
20260313T114652.000Z,Singed Earth,Brawl Ball,Bbarena,brawlBall,False,RICO,SHELLY,WILLOW,COLETTE,BUSTER,GRIFF,Damage Dealer,Damage Dealer,Controller,Damage Dealer,Tank,Controller,Super Rare,Common,Mythic,Epic,Mythic,Epic
20260313T114459.000Z,Singed Earth,Brawl Ball,Bbarena,brawlBall,False,FRANK,MORTIS,BULL,GRIFF,COLETTE,BUSTER,Tank,Assassin,Tank,Controller,Damage Dealer,Tank,Epic,Mythic,Rare,Epic,Epic,Mythic
20260313T114256.000Z,Singed Earth,Brawl Ball,Bbarena,brawlBall,True,BUSTER,COLETTE,GRIFF,EMZ,BUZZ,RICO,Tank,Damage Dealer,Controller,Controller,Assassin,Damage Dealer,Mythic,Epic,Epic,Epic,Mythic,Super Rare
20260313T114055.000Z,Singed Earth,Brawl Ball,Bbarena,brawlBall,True,GRIFF,COLETTE,BUSTER,COLT,TARA,BULL,Controller,Damage Dealer,Tank,Damage Dealer,Damage Dealer,Tank,Epic,Epic,Mythic,Rare,Mythic,Rare
20260313T113841.000Z,Singed Earth,Brawl Ball,Bbarena,brawlBall,False,COLT,RICO,BIBI,BUSTER,COLETTE,GRIFF,Damage Dealer,Damage Dealer,Tank,Tank,Damage Dealer,Controller,Rare,Super Rare,Epic,Mythic,Epic,Epic
20260313T113734.000Z,Singed Earth,Brawl Ball,Bbarena,brawlBall,True,BUSTER,COLETTE,GRIFF,BIBI,FANG,DYNAMIKE,Tank,Damage Dealer,Controller,Tank,Assassin,Artillery,Mythic,Epic,Epic,Epic,Mythic,Super Rare
20260313T113609.000Z,Singed Earth,Brawl Ball,Bbarena,brawlBall,False,TICK,BULL,CROW,GRIFF,BUSTER,COLETTE,Artillery,Tank,Assassin,Controller,Tank,Damage Dealer,Super Rare,Rare,Legendary,Epic,Mythic,Epic
20260313T113455.000Z,Singed Earth,Brawl Ball,Bbarena,brawlBall,True,GRIFF,COLETTE,BUSTER,OLLIE,SIRIUS,DYNAMIKE,Controller,Damage Dealer,Tank,Unknown,Unknown,Artillery,Epic,Epic,Mythic,Mythic,Ultra Legendary,Super Rare
20260313T113322.000Z,Singed Earth,Brawl Ball,Bbarena,brawlBall,True,GRIFF,COLETTE,BUSTER,BIBI,COLT,RICO,Controller,Damage Dealer,Tank,Tank,Damage Dealer,Damage Dealer,Epic,Epic,Mythic,Epic,Rare,Super Rare
20260313T113144.000Z,Singed Earth,Brawl Ball,Bbarena,brawlBall,True,GRIFF,COLETTE,BUSTER,BULL,RICO,BO,Controller,Damage Dealer,Tank,Tank,Damage Dealer,Controller,Epic,Epic,Mythic,Rare,Super Rare,Epic
20260313T112601.000Z,Singed Earth,Brawl Ball,Bbarena,brawlBall,True,MOE,COLETTE,BUSTER,BUZZ,BIBI,OLLIE,Damage Dealer,Damage Dealer,Tank,Assassin,Tank,Unknown,Mythic,Epic,Mythic,Mythic,Epic,Mythic
20260313T112448.000Z,Singed Earth,Brawl Ball,Bbarena,brawlBall,True,MOE,BUSTER,COLETTE,SHELLY,SIRIUS,BIBI,Damage Dealer,Tank,Damage Dealer,Damage Dealer,Unknown,Tank,Mythic,Mythic,Epic,Common,Ultra Legendary,Epic
20260313T112130.000Z,Singed Earth,Brawl Ball,Bbarena,brawlBall,True,BIBI,EMZ,BULL,CORDELIUS,MOE,JANET,Tank,Controller,Tank,Assassin,Damage Dealer,Marksman,Epic,Epic,Rare,Legendary,Mythic,Mythic
20260313T111829.000Z,Singed Earth,Brawl Ball,Bbarena,brawlBall,True,JANET,MOE,CORDELIUS,BULL,BIBI,EL PRIMO,Marksman,Damage Dealer,Assassin,Tank,Tank,Tank,Mythic,Mythic,Legendary,Rare,Epic,Rare
20260313T204818.000Z,Crescendo,Knockout 5v5,Bizarrecircusislandshowdown,knockout,True,NITA,BIBI,SIRIUS,CROW,DYNAMIKE,GROM,Damage Dealer,Tank,Unknown,Assassin,Artillery,Artillery,Rare,Epic,Ultra Legendary,Legendary,Super Rare,Epic
20260313T065809.000Z,Insane Streamer,Brawl Ball 5v5,Iceislandshowdownbb,brawlBall,True,CHESTER,LEON,SPIKE,BULL,EDGAR,BUZZ,Damage Dealer,Assassin,Damage Dealer,Tank,Assassin,Assassin,Legendary,Legendary,Legendary,Rare,Epic,Mythic
20260313T065554.000Z,Insane Streamer,Brawl Ball 5v5,Iceislandshowdownbb,brawlBall,False,BEA,BIBI,CROW,CHESTER,LEON,BUSTER,Marksman,Tank,Assassin,Damage Dealer,Assassin,Tank,Epic,Epic,Legendary,Legendary,Legendary,Mythic
20260313T065248.000Z,Insane Streamer,Brawl Ball 5v5,Iceislandshowdownbb,brawlBall,False,COLT,BIBI,RICO,CHESTER,SPIKE,BUSTER,Damage Dealer,Tank,Damage Dealer,Damage Dealer,Damage Dealer,Tank,Rare,Epic,Super Rare,Legendary,Legendary,Mythic
20260313T065005.000Z,Insane Streamer,Brawl Ball 5v5,Iceislandshowdownbb,brawlBall,False,BIBI,SPIKE,COLT,CHESTER,BUSTER,PIPER,Tank,Damage Dealer,Damage Dealer,Damage Dealer,Tank,Marksman,Epic,Legendary,Rare,Legendary,Mythic,Epic
20260313T064646.000Z,Insane Streamer,Brawl Ball 5v5,Iceislandshowdownbb,brawlBall,True,SPIKE,BUSTER,PIPER,EDGAR,CORDELIUS,TICK,Damage Dealer,Tank,Marksman,Assassin,Assassin,Artillery,Legendary,Mythic,Epic,Epic,Legendary,Super Rare
20260313T064155.000Z,Insane Streamer,Brawl Ball 5v5,Iceislandshowdownbb,brawlBall,False,BUZZ,FANG,RICO,CROW,BUSTER,SPIKE,Assassin,Assassin,Damage Dealer,Assassin,Tank,Damage Dealer,Mythic,Mythic,Super Rare,Legendary,Mythic,Legendary
20260313T063827.000Z,Insane Streamer,Brawl Ball 5v5,Iceislandshowdownbb,brawlBall,True,CROW,SPIKE,BUSTER,CROW,MORTIS,BIBI,Assassin,Damage Dealer,Tank,Assassin,Assassin,Tank,Legendary,Legendary,Mythic,Legendary,Mythic,Epic
20260313T063625.000Z,Insane Streamer,Brawl Ball 5v5,Iceislandshowdownbb,brawlBall,True,CROW,BUSTER,SPIKE,COLT,GUS,SIRIUS,Assassin,Tank,Damage Dealer,Damage Dealer,Support,Unknown,Legendary,Mythic,Legendary,Rare,Super Rare,Ultra Legendary
20260313T063432.000Z,Insane Streamer,Brawl Ball 5v5,Iceislandshowdownbb,brawlBall,True,CROW,BUSTER,SPIKE,RICO,MORTIS,GRIFF,Assassin,Tank,Damage Dealer,Damage Dealer,Assassin,Controller,Legendary,Mythic,Legendary,Super Rare,Mythic,Epic
20260313T063251.000Z,Insane Streamer,Brawl Ball 5v5,Iceislandshowdownbb,brawlBall,False,STU,FANG,MORTIS,CROW,BUSTER,SPIKE,Assassin,Assassin,Assassin,Assassin,Tank,Damage Dealer,Epic,Mythic,Mythic,Legendary,Mythic,Legendary
20260313T005326.000Z,Insane Streamer,Brawl Ball 5v5,Iceislandshowdownbb,brawlBall,False,TICK,JAE-YONG,SPROUT,MORTIS,SIRIUS,BEA,Artillery,Unknown,Artillery,Assassin,Unknown,Marksman,Super Rare,Mythic,Mythic,Mythic,Ultra Legendary,Epic
20260313T001929.000Z,Insane Streamer,Brawl Ball 5v5,Iceislandshowdownbb,brawlBall,False,COLT,CROW,MORTIS,MORTIS,SIRIUS,BEA,Damage Dealer,Assassin,Assassin,Assassin,Unknown,Marksman,Rare,Legendary,Mythic,Mythic,Ultra Legendary,Epic
20260313T001511.000Z,Insane Streamer,Brawl Ball 5v5,Iceislandshowdownbb,brawlBall,True,MORTIS,SIRIUS,BEA,MORTIS,SHELLY,TICK,Assassin,Unknown,Marksman,Assassin,Damage Dealer,Artillery,Mythic,Ultra Legendary,Epic,Mythic,Common,Super Rare
20260313T001250.000Z,Insane Streamer,Brawl Ball 5v5,Iceislandshowdownbb,brawlBall,True,MORTIS,SIRIUS,BEA,AMBER,MORTIS,BIBI,Assassin,Unknown,Marksman,Controller,Assassin,Tank,Mythic,Ultra Legendary,Epic,Legendary,Mythic,Epic
20260313T001048.000Z,Insane Streamer,Brawl Ball 5v5,Iceislandshowdownbb,brawlBall,False,SANDY,TICK,BUZZ,SIRIUS,MEEPLE,CHARLIE,Controller,Artillery,Assassin,Unknown,Unknown,Controller,Legendary,Super Rare,Mythic,Ultra Legendary,Epic,Mythic
20260313T000556.000Z,Insane Streamer,Brawl Ball 5v5,Iceislandshowdownbb,brawlBall,True,CHESTER,MORTIS,JANET,MORTIS,STU,LEON,Damage Dealer,Assassin,Marksman,Assassin,Assassin,Assassin,Legendary,Mythic,Mythic,Mythic,Epic,Legendary
20260312T235926.000Z,Insane Streamer,Brawl Ball 5v5,Iceislandshowdownbb,brawlBall,True,JANET,MORTIS,CHESTER,LILY,BIBI,SIRIUS,Marksman,Assassin,Damage Dealer,Assassin,Tank,Unknown,Mythic,Mythic,Legendary,Mythic,Epic,Ultra Legendary
20260312T235328.000Z,Insane Streamer,Brawl Ball 5v5,Iceislandshowdownbb,brawlBall,False,CHESTER,CROW,LEON,KIT,GRIFF,BIBI,Damage Dealer,Assassin,Assassin,Support,Controller,Tank,Legendary,Legendary,Legendary,Legendary,Epic,Epic
20260312T234233.000Z,Insane Streamer,Brawl Ball 5v5,Iceislandshowdownbb,brawlBall,True,FANG,RICO,TICK,CHESTER,BUSTER,BELLE,Assassin,Damage Dealer,Artillery,Damage Dealer,Tank,Marksman,Mythic,Super Rare,Super Rare,Legendary,Mythic,Epic
20260312T234006.000Z,Insane Streamer,Brawl Ball 5v5,Iceislandshowdownbb,brawlBall,False,EDGAR,JESSIE,PAM,CHESTER,BUSTER,BELLE,Assassin,Controller,Support,Damage Dealer,Tank,Marksman,Epic,Super Rare,Epic,Legendary,Mythic,Epic
20260312T233253.000Z,Insane Streamer,Brawl Ball 5v5,Iceislandshowdownbb,brawlBall,False,CROW,JANET,CHESTER,PENNY,FANG,BO,Assassin,Marksman,Damage Dealer,Artillery,Assassin,Controller,Legendary,Mythic,Legendary,Super Rare,Mythic,Epic
20260312T232811.000Z,Insane Streamer,Brawl Ball 5v5,Iceislandshowdownbb,brawlBall,True,JANET,LOU,CHESTER,MORTIS,FANG,MELODIE,Marksman,Controller,Damage Dealer,Assassin,Assassin,Assassin,Mythic,Mythic,Legendary,Mythic,Mythic,Mythic
20260312T232221.000Z,Insane Streamer,Brawl Ball 5v5,Iceislandshowdownbb,brawlBall,True,CHARLIE,MORTIS,CROW,MANDY,MORTIS,SIRIUS,Controller,Assassin,Assassin,Marksman,Assassin,Unknown,Mythic,Mythic,Legendary,Epic,Mythic,Ultra Legendary
20260312T231957.000Z,Insane Streamer,Brawl Ball 5v5,Iceislandshowdownbb,brawlBall,True,MORTIS,CHARLIE,CHESTER,BIBI,SPIKE,CROW,Assassin,Controller,Damage Dealer,Tank,Damage Dealer,Assassin,Mythic,Mythic,Legendary,Epic,Legendary,Legendary
20260312T231631.000Z,Insane Streamer,Brawl Ball 5v5,Iceislandshowdownbb,brawlBall,False,GRIFF,SPIKE,BULL,CHARLIE,MORTIS,CROW,Controller,Damage Dealer,Tank,Controller,Assassin,Assassin,Epic,Legendary,Rare,Mythic,Mythic,Legendary
20260313T201248.000Z,Grass Knot,Brawl Ball,Stuntshowbb,brawlBall,True,STU,SIRIUS,BIBI,CROW,MORTIS,BIBI,Assassin,Unknown,Tank,Assassin,Assassin,Tank,Epic,Ultra Legendary,Epic,Legendary,Mythic,Epic
20260313T201001.000Z,Slippery Slap,Brawl Hockey,Airhockey,brawlBall,False,CROW,BEA,COLT,FRANK,MINA,DYNAMIKE,Assassin,Marksman,Damage Dealer,Tank,Unknown,Artillery,Legendary,Epic,Rare,Epic,Mythic,Super Rare
20260313T200624.000Z,Grass Knot,Brawl Ball,Stuntshowbb,brawlBall,False,BIBI,DYNAMIKE,CARL,BUSTER,FRANK,BIBI,Tank,Artillery,Damage Dealer,Tank,Tank,Tank,Epic,Super Rare,Super Rare,Mythic,Epic,Epic
20260313T200437.000Z,Double Swoosh,Gem Grab,Madevilmanor,gemGrab,True,CROW,MORTIS,BO,BIBI,LEON,BO,Assassin,Assassin,Controller,Tank,Assassin,Controller,Legendary,Mythic,Epic,Epic,Legendary,Epic
20260313T195424.000Z,Opening Move,Knockout,Retropolis,knockout,True,GLOWBERT,COLT,PIPER,POCO,SQUEAK,PEARL,Unknown,Damage Dealer,Marksman,Support,Controller,Damage Dealer,Mythic,Rare,Epic,Rare,Mythic,Epic
